land_size_acres,crop_type,irrigation_type,soil_type,region,past_fertilizer_usage,recommended_nutrient_dose,max_allowed_qty
2.44,Maize,Borewell,Sandy,West,65.11,30,79.28
1.63,Maize,Rainfed,Clay,West,54.87,30,48.74
2.81,Maize,Borewell,Clay,East,72.01,30,85.53
1.96,Paddy,Rainfed,Sandy,West,70.52,50,93.53
0.53,Maize,Borewell,Clay,West,18.91,30,17.38
2.28,Maize,Borewell,Loam,North,72.79,30,66.29
3.52,Maize,Borewell,Sandy,East,116.45,30,115.04
2.3,Maize,Rainfed,Loam,South,75.32,30,65.77
4.96,Paddy,Borewell,Clay,East,176.8,50,253.14
3.47,Paddy,Rainfed,Sandy,West,181.14,50,160.33
4.72,Maize,Rainfed,Clay,East,111.95,30,145.08
1.5,Paddy,Borewell,Clay,North,64.02,50,75.7
2.38,Paddy,Borewell,Loam,East,92.83,50,111.17
2.38,Paddy,Rainfed,Sandy,North,128.36,50,128.47
0.88,Paddy,Borewell,Clay,North,39.45,50,40.48
0.57,Maize,Borewell,Loam,West,17.63,30,17.45
1.23,Maize,Rainfed,Loam,West,30.14,30,33.38
4.26,Cotton,Borewell,Loam,North,202.32,40,157.98
1.54,Paddy,Borewell,Loam,West,87.33,50,83.57
2.39,Paddy,Rainfed,Clay,South,86.67,50,108.49
3.08,Maize,Rainfed,Clay,North,82.83,30,83.69
3.12,Cotton,Borewell,Loam,West,88.07,40,131.97
1.88,Paddy,Borewell,Clay,West,67.69,50,95.66
2.29,Cotton,Borewell,Sandy,South,108.72,40,92.41
1.74,Maize,Rainfed,Sandy,East,55.06,30,49.81
4.57,Maize,Borewell,Sandy,North,121.66,30,138.47
0.73,Cotton,Borewell,Loam,West,26.66,40,31.14
4.13,Cotton,Rainfed,Clay,East,134.17,40,156.15
4.18,Paddy,Borewell,Clay,South,243.53,50,192.09
2.53,Cotton,Rainfed,Loam,North,87.92,40,108.7
0.88,Paddy,Rainfed,Sandy,North,35.44,50,46.22
0.73,Maize,Borewell,Clay,North,20.72,30,21.65
2.0,Cotton,Rainfed,Sandy,South,71.78,40,80.48
1.23,Maize,Borewell,Clay,South,36.38,30,39.15
3.92,Maize,Borewell,Sandy,East,91.37,30,109.35
1.71,Cotton,Borewell,Clay,East,60.23,40,67.15
3.56,Cotton,Borewell,Sandy,North,103.72,40,129.15
2.26,Paddy,Rainfed,Clay,East,118.49,50,106.07
3.39,Cotton,Rainfed,Loam,South,112.54,40,146.07
4.53,Paddy,Rainfed,Loam,South,192.22,50,214.27
2.35,Maize,Borewell,Loam,West,57.83,30,72.93
4.22,Cotton,Rainfed,Sandy,West,174.97,40,179.75
2.29,Paddy,Borewell,Sandy,East,89.1,50,119.95
2.12,Maize,Rainfed,Loam,South,65.87,30,60.68
0.87,Paddy,Borewell,Loam,East,52.04,50,40.51
4.95,Maize,Rainfed,Loam,North,176.51,30,157.23
3.47,Cotton,Rainfed,Sandy,South,137.26,40,148.96
1.8,Paddy,Rainfed,Sandy,South,84.05,50,92.15
2.35,Maize,Borewell,Sandy,West,64.42,30,68.11
3.04,Paddy,Rainfed,Sandy,South,171.04,50,142.93
4.7,Cotton,Rainfed,Loam,West,196.37,40,200.16
3.0,Cotton,Rainfed,Clay,North,130.77,40,108.39
4.18,Cotton,Borewell,Clay,South,120.4,40,180.24
4.96,Paddy,Borewell,Clay,North,210.06,50,233.63
3.94,Maize,Borewell,Clay,North,97.69,30,126.84
0.96,Cotton,Rainfed,Sandy,West,29.3,40,42.08
3.53,Cotton,Rainfed,Clay,East,158.63,40,136.24
3.54,Paddy,Borewell,Clay,South,176.49,50,180.65
3.57,Cotton,Rainfed,Clay,West,141.04,40,140.77
1.74,Cotton,Borewell,Loam,West,75.47,40,65.79
3.62,Maize,Borewell,Sandy,East,88.69,30,111.32
3.86,Cotton,Borewell,Sandy,North,124.96,40,140.81
1.09,Maize,Borewell,Clay,North,32.8,30,34.99
0.7,Paddy,Borewell,Sandy,West,37.35,50,33.89
2.65,Paddy,Borewell,Sandy,South,154.29,50,128.05
2.59,Cotton,Borewell,Sandy,West,73.23,40,94.93
1.66,Cotton,Borewell,Sandy,East,47.4,40,68.14
2.42,Cotton,Rainfed,Sandy,West,94.29,40,90.5
1.83,Paddy,Borewell,Clay,West,94.42,50,100.02
0.73,Cotton,Rainfed,Sandy,South,33.44,40,29.65
3.04,Cotton,Rainfed,Loam,East,115.54,40,111.13
0.9,Cotton,Rainfed,Loam,West,36.02,40,34.85
4.63,Cotton,Rainfed,Sandy,East,167.29,40,171.99
3.72,Cotton,Borewell,Sandy,South,125.99,40,149.56
3.64,Maize,Rainfed,Loam,West,125.59,30,115.58
3.54,Maize,Rainfed,Clay,North,110.43,30,115.67
1.83,Maize,Borewell,Sandy,South,38.46,30,52.4
1.48,Maize,Borewell,Loam,South,45.77,30,45.59
3.17,Paddy,Rainfed,Clay,East,112.24,50,165.75
1.96,Cotton,Borewell,Clay,North,80.95,40,79.29
2.04,Maize,Rainfed,Clay,South,46.96,30,56.24
4.24,Maize,Rainfed,Sandy,South,147.45,30,131.01
0.97,Paddy,Rainfed,Loam,North,43.7,50,50.72
4.01,Cotton,Rainfed,Sandy,South,121.76,40,144.36
3.7,Cotton,Borewell,Sandy,East,129.99,40,140.73
0.56,Maize,Borewell,Loam,North,16.3,30,17.98
4.81,Cotton,Rainfed,Clay,West,189.1,40,192.96
0.88,Paddy,Borewell,Loam,East,42.88,50,42.94
3.23,Maize,Rainfed,Clay,South,86.66,30,91.87
0.93,Cotton,Borewell,Sandy,West,31.9,40,34.2
1.3,Paddy,Rainfed,Sandy,North,77.59,50,64.27
2.89,Maize,Borewell,Loam,South,98.56,30,95.29
3.12,Paddy,Borewell,Sandy,West,172.57,50,150.6
1.88,Maize,Borewell,Clay,West,50.84,30,58.35
3.57,Maize,Rainfed,Clay,South,91.85,30,99.24
3.35,Maize,Borewell,Loam,North,76.8,30,102.08
3.62,Cotton,Rainfed,Loam,North,152.08,40,152.14
4.43,Maize,Rainfed,Sandy,South,126.25,30,139.02
3.29,Paddy,Rainfed,Sandy,South,130.5,50,148.9
1.78,Maize,Rainfed,Sandy,South,49.21,30,54.65
4.32,Cotton,Borewell,Clay,North,137.92,40,159.86
4.84,Maize,Rainfed,Loam,North,109.48,30,144.58
3.14,Paddy,Rainfed,Loam,East,152.4,50,144.0
0.76,Maize,Borewell,Loam,East,17.16,30,23.19
2.95,Cotton,Borewell,Loam,South,96.39,40,121.25
4.19,Maize,Rainfed,Sandy,South,90.6,30,125.65
3.6,Maize,Borewell,Clay,South,89.22,30,103.85
3.26,Cotton,Rainfed,Clay,North,149.83,40,138.48
3.12,Paddy,Borewell,Clay,South,166.16,50,151.78
3.38,Maize,Borewell,Loam,North,94.62,30,95.11
3.66,Maize,Rainfed,Loam,North,107.41,30,106.7
4.6,Maize,Borewell,Sandy,South,98.04,30,132.92
0.76,Paddy,Rainfed,Sandy,West,41.16,50,39.54
1.99,Cotton,Borewell,Sandy,North,82.61,40,77.94
3.9,Maize,Borewell,Loam,South,108.47,30,114.95
4.71,Paddy,Rainfed,Clay,East,194.39,50,217.62
3.13,Paddy,Rainfed,Sandy,North,185.4,50,152.68
0.78,Paddy,Rainfed,Sandy,East,33.92,50,39.05
1.23,Cotton,Rainfed,Clay,North,50.63,40,54.1
2.53,Maize,Rainfed,Clay,West,66.59,30,74.39
1.02,Cotton,Borewell,Loam,West,46.58,40,40.1
2.24,Cotton,Borewell,Clay,South,92.27,40,88.56
3.42,Cotton,Rainfed,Sandy,North,99.96,40,145.38
4.73,Paddy,Borewell,Sandy,East,242.27,50,258.0
1.18,Maize,Rainfed,Loam,South,33.23,30,36.12
3.12,Paddy,Rainfed,Sandy,East,140.51,50,150.95
1.07,Maize,Rainfed,Clay,East,28.76,30,29.93
3.8,Paddy,Rainfed,Loam,North,152.84,50,173.23
2.99,Cotton,Rainfed,Clay,South,119.31,40,128.5
3.1,Maize,Rainfed,Sandy,South,81.16,30,98.64
2.93,Paddy,Rainfed,Sandy,South,108.36,50,148.43
4.59,Maize,Borewell,Sandy,South,123.68,30,132.09
1.15,Maize,Rainfed,Sandy,East,26.76,30,34.04
3.18,Maize,Borewell,Clay,South,70.63,30,103.79
3.9,Cotton,Borewell,Clay,East,154.96,40,166.25
0.86,Cotton,Borewell,Loam,South,32.28,40,35.3
4.23,Cotton,Borewell,Loam,North,184.72,40,161.66
4.73,Cotton,Borewell,Clay,East,144.2,40,203.4
4.87,Paddy,Borewell,Loam,West,192.02,50,254.31
0.68,Maize,Rainfed,Loam,East,18.42,30,20.47
3.11,Paddy,Borewell,Clay,South,181.62,50,160.86
2.67,Paddy,Borewell,Sandy,East,147.5,50,145.53
0.6,Cotton,Borewell,Sandy,South,28.59,40,22.01
4.16,Paddy,Borewell,Loam,North,174.75,50,192.7
2.48,Cotton,Rainfed,Clay,West,101.38,40,96.84
0.75,Cotton,Rainfed,Clay,West,29.99,40,32.41
2.22,Maize,Rainfed,Clay,South,53.82,30,65.84
0.72,Paddy,Borewell,Clay,West,39.97,50,38.35
3.15,Paddy,Rainfed,Loam,South,138.06,50,166.94
3.0,Cotton,Borewell,Clay,North,133.56,40,123.16
4.03,Paddy,Rainfed,Sandy,West,201.36,50,198.04
4.81,Cotton,Rainfed,Loam,South,186.74,40,196.44
1.49,Maize,Rainfed,Clay,West,45.27,30,45.34
1.33,Cotton,Rainfed,Loam,North,38.83,40,54.31
3.94,Cotton,Borewell,Loam,West,151.56,40,148.99
3.5,Paddy,Borewell,Sandy,West,129.51,50,172.96
1.24,Cotton,Borewell,Sandy,West,39.29,40,46.65
2.24,Cotton,Borewell,Clay,East,65.01,40,87.77
2.8,Maize,Rainfed,Loam,East,79.1,30,82.03
4.28,Maize,Borewell,Loam,East,99.21,30,128.55
0.78,Cotton,Borewell,Sandy,South,22.95,40,31.66
3.05,Maize,Rainfed,Clay,North,104.22,30,92.56
4.82,Paddy,Borewell,Loam,West,174.57,50,221.62
0.7,Maize,Rainfed,Clay,South,16.65,30,21.17
3.41,Maize,Borewell,Loam,North,73.94,30,111.42
4.29,Maize,Rainfed,Sandy,South,109.18,30,117.82
1.26,Cotton,Borewell,Clay,North,38.48,40,46.6
2.83,Cotton,Rainfed,Sandy,East,93.15,40,109.99
4.95,Paddy,Rainfed,Sandy,South,257.93,50,269.72
1.14,Maize,Rainfed,Clay,South,30.47,30,34.57
0.85,Maize,Borewell,Clay,South,17.9,30,26.37
3.39,Paddy,Borewell,Loam,East,153.46,50,169.15
2.37,Maize,Rainfed,Loam,South,50.62,30,68.76
1.3,Paddy,Borewell,Clay,North,48.7,50,70.94
3.2,Cotton,Rainfed,Clay,West,136.23,40,123.27
2.27,Maize,Rainfed,Sandy,North,55.74,30,62.61
1.31,Cotton,Rainfed,Clay,South,57.57,40,54.26
2.96,Cotton,Rainfed,Loam,West,111.01,40,128.4
0.83,Maize,Borewell,Sandy,North,20.92,30,24.15
4.02,Paddy,Rainfed,Sandy,South,240.45,50,190.57
4.43,Paddy,Borewell,Clay,North,247.04,50,209.3
2.3,Cotton,Rainfed,Clay,South,83.24,40,100.8
1.31,Paddy,Rainfed,Loam,North,72.02,50,63.33
3.79,Paddy,Borewell,Loam,South,172.45,50,192.47
4.25,Paddy,Rainfed,Sandy,South,234.19,50,228.07
0.77,Maize,Rainfed,Clay,North,24.16,30,21.44
2.37,Maize,Rainfed,Loam,West,69.27,30,69.72
2.84,Paddy,Rainfed,Sandy,North,170.15,50,131.64
3.54,Maize,Rainfed,Clay,North,95.37,30,98.41
1.21,Cotton,Rainfed,Loam,West,56.85,40,52.07
4.58,Cotton,Borewell,Sandy,South,219.06,40,172.51
2.1,Cotton,Borewell,Clay,North,86.91,40,83.73
2.38,Maize,Rainfed,Loam,East,62.75,30,72.74
3.09,Maize,Rainfed,Clay,West,72.37,30,92.18
2.99,Cotton,Rainfed,Loam,South,117.82,40,112.67
3.84,Cotton,Borewell,Sandy,East,109.46,40,149.14
4.01,Paddy,Borewell,Clay,North,196.88,50,190.92
3.63,Maize,Borewell,Sandy,South,107.12,30,115.35
3.81,Cotton,Rainfed,Loam,North,153.17,40,152.04
1.1,Maize,Rainfed,Sandy,South,27.41,30,32.47
3.2,Paddy,Borewell,Sandy,East,153.1,50,153.22
0.53,Maize,Borewell,Loam,East,15.08,30,15.22
3.81,Cotton,Rainfed,Clay,North,108.5,40,154.99
4.74,Cotton,Rainfed,Loam,West,149.25,40,188.52
0.91,Cotton,Borewell,Clay,South,36.87,40,36.77
2.33,Maize,Rainfed,Sandy,West,67.15,30,75.44
1.38,Maize,Borewell,Sandy,South,29.45,30,44.39
3.1,Maize,Borewell,Sandy,West,106.52,30,94.8
4.15,Cotton,Rainfed,Loam,West,151.86,40,174.3
4.61,Cotton,Borewell,Sandy,East,181.83,40,172.63
1.71,Cotton,Rainfed,Sandy,North,54.67,40,64.94
1.88,Paddy,Rainfed,Loam,North,91.89,50,95.65
2.42,Paddy,Rainfed,Clay,East,121.93,50,110.87
0.9,Maize,Borewell,Sandy,West,21.22,30,27.1
1.46,Paddy,Borewell,Loam,East,61.44,50,71.54
4.15,Cotton,Borewell,Loam,West,117.35,40,170.96
3.51,Paddy,Rainfed,Clay,East,192.93,50,190.69
0.59,Maize,Rainfed,Clay,East,13.75,30,19.07
2.56,Paddy,Borewell,Loam,North,125.73,50,132.17
3.56,Paddy,Borewell,Loam,North,207.52,50,195.69
3.74,Maize,Borewell,Clay,East,94.65,30,120.72
0.72,Maize,Rainfed,Loam,South,17.62,30,23.32
1.65,Paddy,Borewell,Clay,North,66.85,50,76.53
4.37,Maize,Rainfed,Sandy,North,124.55,30,135.69
1.58,Paddy,Rainfed,Clay,North,85.24,50,83.11
1.91,Maize,Rainfed,Clay,North,51.88,30,53.97
4.89,Cotton,Rainfed,Clay,East,200.06,40,212.6
1.87,Cotton,Borewell,Loam,South,81.6,40,78.78
3.61,Paddy,Rainfed,Loam,East,213.5,50,176.66
1.09,Maize,Borewell,Loam,South,33.87,30,34.2
3.09,Paddy,Rainfed,Clay,North,124.13,50,154.64
1.9,Cotton,Borewell,Clay,East,69.44,40,78.21
3.85,Cotton,Rainfed,Loam,South,125.68,40,151.08
1.71,Cotton,Rainfed,Sandy,South,54.67,40,72.28
4.59,Paddy,Borewell,Loam,East,203.13,50,241.03
4.54,Cotton,Rainfed,Clay,South,203.95,40,170.08
4.8,Paddy,Rainfed,Sandy,North,213.2,50,232.28
0.78,Paddy,Rainfed,Clay,North,36.78,50,35.95
1.62,Maize,Rainfed,Clay,West,41.72,30,51.6
4.44,Cotton,Rainfed,Loam,East,151.18,40,190.34
4.36,Paddy,Borewell,Loam,South,235.95,50,202.6
3.61,Paddy,Rainfed,Clay,West,211.64,50,187.09
1.99,Maize,Rainfed,Loam,South,56.73,30,61.44
2.8,Paddy,Borewell,Sandy,East,106.4,50,134.74
4.11,Maize,Rainfed,Clay,East,139.42,30,114.36
4.79,Maize,Rainfed,Loam,North,124.22,30,148.36
3.88,Paddy,Rainfed,Clay,East,214.56,50,211.3
1.91,Maize,Rainfed,Clay,East,64.71,30,53.08
3.67,Maize,Borewell,Sandy,North,117.92,30,114.01
1.64,Maize,Borewell,Loam,North,55.92,30,45.94
0.74,Maize,Rainfed,Loam,West,23.5,30,22.09
4.32,Paddy,Borewell,Sandy,South,192.61,50,201.67
4.26,Maize,Rainfed,Clay,East,124.54,30,119.86
3.74,Paddy,Rainfed,Loam,East,178.69,50,190.9
2.57,Cotton,Borewell,Clay,North,114.56,40,109.58
3.69,Cotton,Rainfed,Clay,West,111.1,40,157.6
3.52,Maize,Borewell,Loam,South,110.72,30,102.71
4.46,Maize,Rainfed,Clay,North,142.19,30,123.43
2.34,Cotton,Rainfed,Loam,West,107.0,40,85.12
4.83,Cotton,Borewell,Clay,South,200.85,40,198.28
1.72,Paddy,Borewell,Clay,South,70.9,50,93.6
1.84,Maize,Rainfed,Loam,West,60.04,30,54.02
1.13,Paddy,Borewell,Sandy,East,39.85,50,57.0
4.89,Maize,Rainfed,Loam,East,129.77,30,142.51
2.05,Paddy,Borewell,Sandy,West,98.43,50,101.28
4.46,Paddy,Rainfed,Clay,East,212.47,50,223.35
1.12,Cotton,Borewell,Clay,East,53.37,40,42.56
0.83,Paddy,Rainfed,Clay,South,42.81,50,42.29
2.37,Maize,Rainfed,Sandy,East,64.78,30,75.15
1.38,Cotton,Rainfed,Loam,West,61.28,40,56.84
2.39,Maize,Borewell,Sandy,South,66.61,30,68.21
3.88,Maize,Borewell,Clay,West,111.33,30,112.23
3.18,Maize,Rainfed,Clay,East,114.28,30,94.16
4.64,Cotton,Borewell,Clay,North,161.94,40,169.07
1.42,Paddy,Borewell,Clay,West,64.56,50,67.02
0.5,Cotton,Rainfed,Clay,North,23.15,40,21.38
3.84,Paddy,Rainfed,Loam,West,150.51,50,177.42
0.8,Cotton,Borewell,Loam,West,33.98,40,34.74
2.44,Cotton,Rainfed,Loam,East,74.13,40,97.84
2.07,Paddy,Borewell,Loam,North,91.85,50,106.01
3.73,Cotton,Rainfed,Sandy,South,112.69,40,135.34
4.97,Cotton,Rainfed,Loam,East,162.29,40,181.06
1.35,Paddy,Borewell,Sandy,West,48.56,50,66.04
4.11,Cotton,Rainfed,Clay,West,143.13,40,162.56
3.54,Cotton,Borewell,Clay,East,135.15,40,151.84
4.4,Maize,Borewell,Sandy,North,93.05,30,139.34
2.57,Paddy,Rainfed,Sandy,North,153.48,50,128.07
4.94,Cotton,Rainfed,Sandy,North,212.87,40,187.66
2.92,Maize,Borewell,Loam,West,104.78,30,93.86
0.94,Cotton,Rainfed,Sandy,East,39.6,40,36.44
0.53,Maize,Rainfed,Loam,East,14.34,30,15.06
4.18,Paddy,Borewell,Sandy,East,181.55,50,222.69
0.5,Cotton,Rainfed,Clay,West,17.08,40,18.96
1.55,Cotton,Borewell,Sandy,North,45.51,40,58.12
3.0,Cotton,Rainfed,Sandy,North,101.48,40,118.02
2.2,Maize,Rainfed,Clay,South,75.1,30,71.35
2.72,Cotton,Borewell,Loam,East,94.12,40,100.24
4.79,Paddy,Rainfed,Loam,East,174.86,50,229.81
1.84,Paddy,Borewell,Sandy,South,79.14,50,85.82
4.02,Cotton,Borewell,Sandy,West,122.41,40,165.14
1.06,Maize,Borewell,Loam,South,23.38,30,34.4
1.36,Maize,Borewell,Sandy,North,45.31,30,41.16
0.85,Maize,Borewell,Clay,South,30.03,30,24.21
4.37,Maize,Rainfed,Loam,South,102.84,30,140.38
0.56,Cotton,Rainfed,Sandy,South,21.41,40,23.61
4.71,Paddy,Rainfed,Clay,East,271.91,50,250.55
4.5,Paddy,Borewell,Clay,West,179.91,50,215.29
1.8,Maize,Rainfed,Loam,West,47.98,30,52.85
2.95,Cotton,Borewell,Loam,West,92.03,40,122.51
1.25,Maize,Rainfed,Clay,West,32.07,30,37.53
4.08,Paddy,Rainfed,Loam,West,218.23,50,209.94
1.2,Cotton,Rainfed,Sandy,North,46.73,40,44.04
2.2,Paddy,Rainfed,Loam,East,99.74,50,99.88
1.73,Maize,Rainfed,Loam,North,61.13,30,56.61
2.09,Maize,Rainfed,Loam,South,45.24,30,58.68
2.26,Cotton,Borewell,Sandy,East,106.12,40,83.91
3.94,Cotton,Borewell,Loam,North,118.88,40,172.77
2.22,Cotton,Borewell,Clay,North,96.58,40,86.0
3.32,Maize,Borewell,Sandy,North,79.28,30,92.55
4.72,Cotton,Rainfed,Loam,South,218.79,40,203.43
3.31,Cotton,Rainfed,Loam,South,146.19,40,120.99
2.01,Paddy,Borewell,Sandy,North,86.11,50,103.23
2.1,Paddy,Borewell,Sandy,North,81.3,50,107.03
4.16,Cotton,Borewell,Clay,South,148.27,40,154.16
1.39,Maize,Borewell,Clay,South,34.14,30,40.03
3.39,Maize,Rainfed,Loam,North,101.75,30,105.69
2.13,Cotton,Rainfed,Loam,West,94.74,40,80.16
2.61,Cotton,Rainfed,Loam,South,114.89,40,97.72
0.99,Paddy,Rainfed,Clay,West,56.52,50,47.95
3.58,Maize,Rainfed,Clay,East,76.54,30,111.48
1.92,Maize,Borewell,Loam,North,41.93,30,58.87
1.58,Maize,Borewell,Sandy,West,42.35,30,43.42
1.16,Paddy,Rainfed,Clay,South,49.24,50,53.24
4.6,Cotton,Rainfed,Clay,North,129.36,40,183.41
1.05,Maize,Rainfed,Clay,North,26.9,30,34.18
1.23,Paddy,Borewell,Sandy,East,72.75,50,57.88
3.84,Maize,Borewell,Loam,South,112.13,30,124.06
2.99,Cotton,Borewell,Clay,West,115.69,40,112.32
1.25,Maize,Borewell,Sandy,East,43.43,30,36.21
2.17,Maize,Borewell,Sandy,West,70.3,30,63.0
4.78,Maize,Rainfed,Loam,North,153.29,30,146.19
4.46,Cotton,Borewell,Clay,West,129.3,40,169.73
2.59,Cotton,Rainfed,Clay,East,84.28,40,108.65
4.64,Maize,Rainfed,Loam,North,126.93,30,134.8
4.83,Cotton,Borewell,Loam,East,178.21,40,192.78
2.08,Paddy,Rainfed,Loam,South,120.1,50,105.43
3.93,Paddy,Borewell,Loam,South,217.31,50,190.28
2.45,Maize,Rainfed,Clay,East,82.63,30,71.49
4.07,Maize,Borewell,Sandy,West,142.92,30,125.11
3.84,Cotton,Borewell,Clay,North,169.35,40,164.2
2.28,Paddy,Borewell,Sandy,South,82.72,50,111.76
3.53,Maize,Rainfed,Clay,East,97.98,30,111.17
2.11,Maize,Rainfed,Clay,North,64.4,30,59.33
3.87,Maize,Borewell,Loam,North,112.95,30,109.23
1.81,Maize,Borewell,Clay,West,58.33,30,54.11
1.47,Cotton,Borewell,Sandy,South,69.6,40,61.33
4.81,Paddy,Borewell,Sandy,South,219.71,50,239.3
4.54,Maize,Borewell,Loam,North,131.1,30,141.85
1.63,Paddy,Borewell,Clay,South,75.25,50,75.36
1.43,Cotton,Borewell,Loam,North,40.07,40,51.93
4.9,Maize,Borewell,Sandy,North,120.71,30,151.8
4.28,Paddy,Borewell,Loam,South,208.72,50,199.15
3.78,Paddy,Borewell,Loam,East,189.02,50,197.74
3.96,Cotton,Rainfed,Loam,North,188.13,40,160.73
2.04,Cotton,Borewell,Loam,South,83.58,40,74.56
4.54,Paddy,Borewell,Loam,North,172.45,50,219.18
4.17,Paddy,Rainfed,Clay,West,208.22,50,204.06
2.63,Paddy,Rainfed,Sandy,South,148.24,50,127.29
4.41,Maize,Borewell,Sandy,North,98.44,30,139.62
4.31,Paddy,Borewell,Sandy,West,170.44,50,212.5
1.24,Paddy,Borewell,Loam,North,65.3,50,62.44
3.36,Paddy,Borewell,Clay,North,134.1,50,158.31
0.69,Cotton,Rainfed,Loam,West,23.76,40,27.93
4.36,Cotton,Borewell,Clay,South,180.24,40,172.15
4.79,Cotton,Rainfed,Sandy,West,203.02,40,208.08
2.87,Maize,Borewell,Clay,North,71.42,30,78.4
3.77,Cotton,Borewell,Sandy,West,114.71,40,144.85
2.9,Cotton,Borewell,Sandy,East,113.94,40,118.33
1.25,Maize,Rainfed,Clay,South,33.37,30,38.38
4.86,Paddy,Borewell,Sandy,North,258.51,50,263.54
3.93,Cotton,Rainfed,Sandy,South,156.55,40,147.52
3.5,Maize,Borewell,Loam,North,106.23,30,107.15
2.7,Paddy,Borewell,Clay,West,130.18,50,130.53
2.84,Maize,Borewell,Clay,North,68.06,30,90.4
1.34,Paddy,Rainfed,Loam,South,49.75,50,66.15
3.46,Maize,Rainfed,Loam,West,95.38,30,99.17
3.01,Paddy,Borewell,Sandy,North,131.46,50,163.53
4.65,Cotton,Borewell,Clay,North,176.92,40,179.6
3.82,Maize,Borewell,Clay,South,82.32,30,114.02
2.01,Cotton,Rainfed,Sandy,East,93.29,40,72.55
2.99,Maize,Borewell,Sandy,East,96.01,30,89.43
0.88,Paddy,Borewell,Loam,South,52.19,50,44.16
3.26,Paddy,Borewell,Sandy,West,133.38,50,162.46
2.43,Paddy,Rainfed,Clay,North,89.6,50,111.93
4.27,Maize,Rainfed,Clay,West,105.03,30,120.28
2.77,Paddy,Borewell,Sandy,West,150.19,50,126.37
3.1,Paddy,Rainfed,Loam,South,117.74,50,140.63
0.74,Maize,Borewell,Sandy,East,24.8,30,20.5
0.7,Maize,Borewell,Loam,South,19.3,30,22.44
1.68,Paddy,Borewell,Loam,South,76.51,50,76.27
2.52,Paddy,Rainfed,Loam,West,124.59,50,127.79
2.0,Paddy,Rainfed,Clay,East,85.78,50,92.13
2.15,Cotton,Borewell,Sandy,South,64.48,40,90.59
4.85,Cotton,Borewell,Clay,West,229.9,40,208.16
3.2,Cotton,Rainfed,Clay,West,134.46,40,122.5
3.34,Maize,Rainfed,Clay,West,92.97,30,99.84
3.91,Cotton,Borewell,Clay,East,131.53,40,150.71
4.66,Maize,Borewell,Sandy,South,101.79,30,139.4
4.61,Cotton,Borewell,Loam,North,185.36,40,186.11
1.62,Paddy,Rainfed,Sandy,North,70.6,50,86.7
3.02,Maize,Rainfed,Loam,North,86.74,30,83.34
0.57,Maize,Rainfed,Clay,North,20.21,30,16.68
3.21,Cotton,Borewell,Sandy,West,95.0,40,133.1
4.7,Paddy,Borewell,Loam,East,232.14,50,217.43
3.12,Paddy,Borewell,Clay,West,168.98,50,153.08
4.46,Cotton,Rainfed,Clay,West,182.74,40,192.65
3.31,Cotton,Borewell,Loam,West,101.37,40,127.36
1.41,Paddy,Rainfed,Clay,East,81.39,50,74.17
3.54,Cotton,Rainfed,Sandy,North,120.43,40,132.65
3.9,Cotton,Borewell,Loam,East,146.18,40,147.44
3.27,Cotton,Borewell,Loam,West,94.2,40,126.25
2.61,Maize,Borewell,Sandy,North,60.6,30,85.89
1.44,Cotton,Rainfed,Sandy,North,44.07,40,54.18
3.96,Cotton,Rainfed,Clay,North,144.58,40,160.47
0.59,Maize,Rainfed,Loam,North,12.69,30,17.51
4.17,Maize,Rainfed,Clay,North,142.94,30,114.76
2.92,Cotton,Borewell,Clay,East,135.09,40,114.18
4.23,Paddy,Borewell,Sandy,West,162.19,50,229.92
3.88,Cotton,Borewell,Sandy,South,181.69,40,160.68
2.14,Maize,Rainfed,Loam,West,75.06,30,61.32
1.99,Maize,Borewell,Clay,East,62.71,30,62.87
4.68,Maize,Rainfed,Loam,North,112.66,30,148.77
3.82,Maize,Rainfed,Loam,East,83.88,30,112.02
1.77,Cotton,Borewell,Clay,West,60.34,40,77.64
3.39,Paddy,Borewell,Loam,South,179.47,50,185.66
2.2,Maize,Borewell,Clay,South,72.66,30,65.14
4.41,Maize,Borewell,Sandy,South,104.56,30,144.15
1.48,Maize,Borewell,Clay,North,38.32,30,46.67
2.27,Maize,Rainfed,Sandy,South,68.38,30,67.35
3.84,Maize,Rainfed,Loam,West,93.79,30,105.03
1.85,Cotton,Borewell,Loam,South,69.35,40,69.09
2.1,Paddy,Borewell,Clay,East,94.5,50,95.71
3.12,Maize,Rainfed,Sandy,East,106.91,30,87.08
3.19,Maize,Rainfed,Loam,East,98.8,30,94.16
3.65,Cotton,Borewell,Loam,South,132.18,40,146.14
0.53,Maize,Borewell,Loam,East,16.63,30,16.41
0.67,Maize,Borewell,Clay,East,17.77,30,22.03
2.39,Maize,Rainfed,Clay,South,68.18,30,77.58
3.73,Cotton,Rainfed,Clay,South,147.86,40,158.09
4.39,Cotton,Borewell,Clay,South,163.03,40,174.73
2.24,Paddy,Borewell,Loam,South,132.54,50,116.42
0.87,Maize,Rainfed,Loam,South,29.53,30,26.0
0.81,Paddy,Borewell,Sandy,East,39.48,50,39.83
4.45,Maize,Borewell,Loam,West,107.07,30,142.22
3.01,Cotton,Borewell,Sandy,East,87.57,40,131.76
2.81,Paddy,Borewell,Loam,West,118.78,50,139.64
4.36,Paddy,Rainfed,Loam,South,185.83,50,204.6
1.08,Paddy,Rainfed,Sandy,East,45.84,50,57.02
